crop,var,unit,slope_per_day,se_hac,annualized_trend_pct,ci_low_annual_pct,ci_high_annual_pct,p_value,n_obs,note
土豆,log_volume,unknown,0.00013939433120704523,1.8894613747395e-05,5.223216536052444,3.809501217057898,6.656184341377536,1.6133307128585534e-13,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
尖椒,log_volume,unknown,-3.252565993186983e-05,8.67852064035007e-06,-1.1809708740243563,-1.793017025052912,-0.565110325285556,0.0001783678073650328,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
甘蓝,log_volume,unknown,-0.00012313609739457356,1.686058908155696e-05,-4.397905729296802,-5.544917948009864,-3.236964804988496,2.810224322681258e-13,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
芸豆,log_volume,unknown,2.6371456122906665e-06,1.1201835214199029e-05,0.09636814777820302,-0.7031228802495071,0.9022962957077496,0.8138821017270005,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
芹菜,log_volume,unknown,-5.941104689628036e-05,1.0307746071233848e-05,-2.146613620314042,-2.866036883048595,-1.421861945000047,8.2275869318288e-09,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
茄子,log_volume,unknown,6.332217163095835e-05,1.399711814661486e-05,2.339795913709297,1.3194313058957796,3.370436377984487,6.069793462861126e-06,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
西红柿,log_volume,unknown,-0.00011261414381796755,1.1327387459015122e-05,-4.029786242993749,-4.804877470542735,-3.248384120568426,2.7394941287779893e-23,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
青椒,log_volume,unknown,7.966990165970793e-06,1.0834657004493041e-05,0.2914181152489759,-0.4834754213000503,1.0723454235311625,0.4621418107554258,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
韭菜,log_volume,unknown,-1.1184413176339517e-05,1.6706457708833006e-05,-0.4076774213930823,-1.5917056120500095,0.790596750915995,0.5031979661409873,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
黄瓜,log_volume,unknown,4.269048546438588e-05,1.2278091963635087e-05,1.5714900278525734,0.6826129095560685,2.4682146037050545,0.0005071256396189219,1410,沈阳批发口径；HAC maxlags=14；单位 unknown，仅年化百分比可比
