crop,target,weather,n_years,df_resid,slope,intercept,slope_se,r2,inference_allowed,note
粮食,yield_kg_per_ha,season_precip_mm,5,3,-1.581759371184881,8622.638920772639,0.26730774261635565,0.9210843894138447,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,yield_kg_per_ha,season_temp_mean_c,5,3,126.41024577679596,4762.6480380258145,151.01532101488462,0.18933916873178247,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,yield_kg_per_ha,heat_days,5,3,51.716666666667756,7486.75,93.35385439085861,0.09280588419175051,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,yield_kg_per_ha,heavy_rain_days,5,3,-167.2230769230776,7751.892307692303,63.087987616182126,0.7007735961155956,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,yield_kg_per_ha,soil_moisture_anomaly,5,3,-201.92261066893448,7525.424101142591,203.47928378702395,0.24713118783167964,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,production_ton,season_precip_mm,5,3,-856.4299367901735,4701016.310847936,203.56853360117918,0.8550693582723774,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,production_ton,season_temp_mean_c,5,3,92286.36596492048,2091403.5743229967,77749.45333770639,0.31955828263418007,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,production_ton,heat_days,5,3,40500.0,4078500.0000000005,49868.80937167187,0.18022854770872365,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,production_ton,heavy_rain_days,5,3,-87423.0769230768,4225192.307692306,40655.10756600161,0.6065080359369096,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
粮食,production_ton,soil_moisture_anomaly,5,3,-125889.89049936696,4107565.761757035,109927.85724387679,0.30418545039075007,False,n=5，自由度=3；样本量极小，仅作机制补充，不得宣称预测能力
