scope,response,crop,hazard,mean_y_in_win,mean_y_out_win,sd_y_in_win,sd_y_out_win
open_field,price,土豆,precip_3d,0.16613608799089372,0.19365472838545308,1.2792608241749617,1.062732562026319
open_field,price,土豆,temp_max,0.16613608799089372,0.19365472838545308,1.2792608241749617,1.062732562026319
open_field,price,土豆,vpd,0.16613608799089372,0.19365472838545308,1.2792608241749617,1.062732562026319
open_field,price,土豆,soil_z,0.16613608799089372,0.19365472838545308,1.2792608241749617,1.062732562026319
open_field,price,土豆,wind,0.16613608799089372,0.19365472838545308,1.2792608241749617,1.062732562026319
open_field,price,尖椒,precip_3d,0.2802287139451754,0.03428980322051992,1.1364962066535007,1.5277069282861695
open_field,price,尖椒,temp_max,0.2802287139451754,0.03428980322051992,1.1364962066535007,1.5277069282861695
open_field,price,尖椒,vpd,0.2802287139451754,0.03428980322051992,1.1364962066535007,1.5277069282861695
open_field,price,尖椒,soil_z,0.2802287139451754,0.03428980322051992,1.1364962066535007,1.5277069282861695
open_field,price,尖椒,wind,0.2802287139451754,0.03428980322051992,1.1364962066535007,1.5277069282861695
open_field,price,甘蓝,precip_3d,0.26751525268528586,0.17290278267199446,2.199142887293651,1.2643500842901112
open_field,price,甘蓝,temp_max,0.26751525268528586,0.17290278267199446,2.199142887293651,1.2643500842901112
open_field,price,甘蓝,vpd,0.26751525268528586,0.17290278267199446,2.199142887293651,1.2643500842901112
open_field,price,甘蓝,soil_z,0.26751525268528586,0.17290278267199446,2.199142887293651,1.2643500842901112
open_field,price,甘蓝,wind,0.26751525268528586,0.17290278267199446,2.199142887293651,1.2643500842901112
open_field,price,芸豆,precip_3d,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
open_field,price,芸豆,temp_max,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
open_field,price,芸豆,vpd,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
open_field,price,芸豆,soil_z,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
open_field,price,芸豆,wind,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
open_field,price,芹菜,precip_3d,0.13617923615272173,0.210694364005971,2.0249678197846976,1.1146347149436826
open_field,price,芹菜,temp_max,0.13617923615272173,0.210694364005971,2.0249678197846976,1.1146347149436826
open_field,price,芹菜,vpd,0.13617923615272173,0.210694364005971,2.0249678197846976,1.1146347149436826
open_field,price,芹菜,soil_z,0.13617923615272173,0.210694364005971,2.0249678197846976,1.1146347149436826
open_field,price,芹菜,wind,0.13617923615272173,0.210694364005971,2.0249678197846976,1.1146347149436826
open_field,price,黄瓜,precip_3d,0.11095680010458635,0.16946753100743156,1.1933610980274048,1.4718871858827547
open_field,price,黄瓜,temp_max,0.11095680010458635,0.16946753100743156,1.1933610980274048,1.4718871858827547
open_field,price,黄瓜,vpd,0.11095680010458635,0.16946753100743156,1.1933610980274048,1.4718871858827547
open_field,price,黄瓜,soil_z,0.11095680010458635,0.16946753100743156,1.1933610980274048,1.4718871858827547
open_field,price,黄瓜,wind,0.11095680010458635,0.16946753100743156,1.1933610980274048,1.4718871858827547
all,price,土豆,precip_3d,0.28021594936517685,0.16502878296457996,1.4695772900119075,0.9719301703617244
all,price,土豆,temp_max,0.28021594936517685,0.16502878296457996,1.4695772900119075,0.9719301703617244
all,price,土豆,vpd,0.28021594936517685,0.16502878296457996,1.4695772900119075,0.9719301703617244
all,price,土豆,soil_z,0.28021594936517685,0.16502878296457996,1.4695772900119075,0.9719301703617244
all,price,土豆,wind,0.28021594936517685,0.16502878296457996,1.4695772900119075,0.9719301703617244
all,price,尖椒,precip_3d,0.18318067268023935,-0.0104384610376447,1.079422978946218,1.8868761722372485
all,price,尖椒,temp_max,0.18318067268023935,-0.0104384610376447,1.079422978946218,1.8868761722372485
all,price,尖椒,vpd,0.18318067268023935,-0.0104384610376447,1.079422978946218,1.8868761722372485
all,price,尖椒,soil_z,0.18318067268023935,-0.0104384610376447,1.079422978946218,1.8868761722372485
all,price,尖椒,wind,0.18318067268023935,-0.0104384610376447,1.079422978946218,1.8868761722372485
all,price,甘蓝,precip_3d,0.1601454539241757,0.19868863003518353,1.5697458863065028,1.3717428300168513
all,price,甘蓝,temp_max,0.1601454539241757,0.19868863003518353,1.5697458863065028,1.3717428300168513
all,price,甘蓝,vpd,0.1601454539241757,0.19868863003518353,1.5697458863065028,1.3717428300168513
all,price,甘蓝,soil_z,0.1601454539241757,0.19868863003518353,1.5697458863065028,1.3717428300168513
all,price,甘蓝,wind,0.1601454539241757,0.19868863003518353,1.5697458863065028,1.3717428300168513
all,price,芸豆,precip_3d,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
all,price,芸豆,temp_max,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
all,price,芸豆,vpd,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
all,price,芸豆,soil_z,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
all,price,芸豆,wind,0.18604543028402304,0.07799014142660601,1.0504125828110074,1.2276490582307047
all,price,芹菜,precip_3d,0.10371650891270806,0.2509097895279913,1.4131320848609685,1.210731720822258
all,price,芹菜,temp_max,0.10371650891270806,0.2509097895279913,1.4131320848609685,1.210731720822258
all,price,芹菜,vpd,0.10371650891270806,0.2509097895279913,1.4131320848609685,1.210731720822258
all,price,芹菜,soil_z,0.10371650891270806,0.2509097895279913,1.4131320848609685,1.210731720822258
all,price,芹菜,wind,0.10371650891270806,0.2509097895279913,1.4131320848609685,1.210731720822258
all,price,茄子,precip_3d,0.03483324405771282,0.06999114166826739,0.5436035632045332,1.204579762394862
all,price,茄子,temp_max,0.03483324405771282,0.06999114166826739,0.5436035632045332,1.204579762394862
all,price,茄子,vpd,0.03483324405771282,0.06999114166826739,0.5436035632045332,1.204579762394862
all,price,茄子,soil_z,0.03483324405771282,0.06999114166826739,0.5436035632045332,1.204579762394862
all,price,茄子,wind,0.03483324405771282,0.06999114166826739,0.5436035632045332,1.204579762394862
all,price,西红柿,precip_3d,0.000242881607828182,0.12859813786327307,0.8039263473017824,1.5595172312627166
all,price,西红柿,temp_max,0.000242881607828182,0.12859813786327307,0.8039263473017824,1.5595172312627166
all,price,西红柿,vpd,0.000242881607828182,0.12859813786327307,0.8039263473017824,1.5595172312627166
all,price,西红柿,soil_z,0.000242881607828182,0.12859813786327307,0.8039263473017824,1.5595172312627166
all,price,西红柿,wind,0.000242881607828182,0.12859813786327307,0.8039263473017824,1.5595172312627166
all,price,青椒,precip_3d,0.053444674851982246,0.17488834461625266,1.2720491136446601,1.2039480346352522
all,price,青椒,temp_max,0.053444674851982246,0.17488834461625266,1.2720491136446601,1.2039480346352522
all,price,青椒,vpd,0.053444674851982246,0.17488834461625266,1.2720491136446601,1.2039480346352522
all,price,青椒,soil_z,0.053444674851982246,0.17488834461625266,1.2720491136446601,1.2039480346352522
all,price,青椒,wind,0.053444674851982246,0.17488834461625266,1.2720491136446601,1.2039480346352522
all,price,黄瓜,precip_3d,0.1143004784520745,0.1863503465650026,1.1745501387859503,1.5728961753717463
all,price,黄瓜,temp_max,0.1143004784520745,0.1863503465650026,1.1745501387859503,1.5728961753717463
all,price,黄瓜,vpd,0.1143004784520745,0.1863503465650026,1.1745501387859503,1.5728961753717463
all,price,黄瓜,soil_z,0.1143004784520745,0.1863503465650026,1.1745501387859503,1.5728961753717463
all,price,黄瓜,wind,0.1143004784520745,0.1863503465650026,1.1745501387859503,1.5728961753717463
open_field,volume,土豆,precip_3d,0.004459900324246894,-0.11419820635165154,0.6622189003005657,1.0793011087675597
open_field,volume,土豆,temp_max,0.004459900324246894,-0.11419820635165154,0.6622189003005657,1.0793011087675597
open_field,volume,土豆,vpd,0.004459900324246894,-0.11419820635165154,0.6622189003005657,1.0793011087675597
open_field,volume,土豆,soil_z,0.004459900324246894,-0.11419820635165154,0.6622189003005657,1.0793011087675597
open_field,volume,土豆,wind,0.004459900324246894,-0.11419820635165154,0.6622189003005657,1.0793011087675597
open_field,volume,尖椒,precip_3d,0.6199777766512399,0.06201388239419177,2.3874611508322583,1.989520922745757
open_field,volume,尖椒,temp_max,0.6199777766512399,0.06201388239419177,2.3874611508322583,1.989520922745757
open_field,volume,尖椒,vpd,0.6199777766512399,0.06201388239419177,2.3874611508322583,1.989520922745757
open_field,volume,尖椒,soil_z,0.6199777766512399,0.06201388239419177,2.3874611508322583,1.989520922745757
open_field,volume,尖椒,wind,0.6199777766512399,0.06201388239419177,2.3874611508322583,1.989520922745757
open_field,volume,甘蓝,precip_3d,0.45058085345119375,0.3777926148258793,1.5322179561808453,1.3754725358773412
open_field,volume,甘蓝,temp_max,0.45058085345119375,0.3777926148258793,1.5322179561808453,1.3754725358773412
open_field,volume,甘蓝,vpd,0.45058085345119375,0.3777926148258793,1.5322179561808453,1.3754725358773412
open_field,volume,甘蓝,soil_z,0.45058085345119375,0.3777926148258793,1.5322179561808453,1.3754725358773412
open_field,volume,甘蓝,wind,0.45058085345119375,0.3777926148258793,1.5322179561808453,1.3754725358773412
open_field,volume,芸豆,precip_3d,-0.055474159790107135,-0.0011429594594305574,1.0085281594512165,1.2389144836194634
open_field,volume,芸豆,temp_max,-0.055474159790107135,-0.0011429594594305574,1.0085281594512165,1.2389144836194634
open_field,volume,芸豆,vpd,-0.055474159790107135,-0.0011429594594305574,1.0085281594512165,1.2389144836194634
open_field,volume,芸豆,soil_z,-0.055474159790107135,-0.0011429594594305574,1.0085281594512165,1.2389144836194634
open_field,volume,芸豆,wind,-0.055474159790107135,-0.0011429594594305574,1.0085281594512165,1.2389144836194634
open_field,volume,芹菜,precip_3d,0.37689524704414673,0.17783150978674728,2.444215444725402,1.3526769669341898
open_field,volume,芹菜,temp_max,0.37689524704414673,0.17783150978674728,2.444215444725402,1.3526769669341898
open_field,volume,芹菜,vpd,0.37689524704414673,0.17783150978674728,2.444215444725402,1.3526769669341898
open_field,volume,芹菜,soil_z,0.37689524704414673,0.17783150978674728,2.444215444725402,1.3526769669341898
open_field,volume,芹菜,wind,0.37689524704414673,0.17783150978674728,2.444215444725402,1.3526769669341898
open_field,volume,黄瓜,precip_3d,-0.19351687262836884,-0.18407515250410908,1.6373043700911472,1.9697672188771973
open_field,volume,黄瓜,temp_max,-0.19351687262836884,-0.18407515250410908,1.6373043700911472,1.9697672188771973
open_field,volume,黄瓜,vpd,-0.19351687262836884,-0.18407515250410908,1.6373043700911472,1.9697672188771973
open_field,volume,黄瓜,soil_z,-0.19351687262836884,-0.18407515250410908,1.6373043700911472,1.9697672188771973
open_field,volume,黄瓜,wind,-0.19351687262836884,-0.18407515250410908,1.6373043700911472,1.9697672188771973
all,volume,土豆,precip_3d,-0.029076604522257483,-0.11464831449597905,0.8874212623796323,1.0627928372417683
all,volume,土豆,temp_max,-0.029076604522257483,-0.11464831449597905,0.8874212623796323,1.0627928372417683
all,volume,土豆,vpd,-0.029076604522257483,-0.11464831449597905,0.8874212623796323,1.0627928372417683
all,volume,土豆,soil_z,-0.029076604522257483,-0.11464831449597905,0.8874212623796323,1.0627928372417683
all,volume,土豆,wind,-0.029076604522257483,-0.11464831449597905,0.8874212623796323,1.0627928372417683
all,volume,尖椒,precip_3d,0.30738967404285095,0.13623973159523817,1.8823003368955527,2.572396200352933
