outcome,exposure,crop,ar1_coef,beta_per_sd,beta_raw,se,p_raw,n,r2,ar1,n_eff,ci_low,ci_high,is_core,q_fdr
price,precipitation,土豆,0.9830606530820175,0.007287394879157474,0.0008790235371820818,0.00078025625123066,0.2599187710064713,916,0.967357825018983,0.9834959604117846,7.621744921359372,-0.005391024903137128,0.019965814661452076,True,0.5351825766134327
price,precipitation,尖椒,0.9672624221856922,0.0043627523883261006,0.0005262459493178117,0.0005150074337676015,0.3068651333949015,916,0.9392492770590681,0.9690679539395343,14.389424262732518,-0.004005627135720399,0.0127311319123726,True,0.5351825766134327
price,precipitation,甘蓝,0.9660556633307881,0.010354398459144817,0.0012489730706074305,0.00043408526120369606,0.0040115396921105734,916,0.9361218989648944,0.9674043098295327,15.176164882313921,0.003300927046173713,0.01740786987211592,True,0.04011539692110573
price,precipitation,芸豆,0.9610490341472449,0.005772919402505474,0.0006963437712934968,0.0013146992948766464,0.596347610770644,916,0.9253295896867756,0.9613992980896487,18.027049864002578,-0.015589690024388227,0.027135528829399177,True,0.596347610770644
price,precipitation,芹菜,0.9776840635011624,0.012449028827701847,0.001501632549912452,0.0010441670876301394,0.15040137329617373,916,0.9562094281867067,0.9777185640789601,10.319868395014831,-0.004517690296881443,0.02941574795228514,True,0.5013379109872458
price,precipitation,茄子,0.9725689921742767,0.010111721904701165,0.0012197008262985175,0.00046619151230082966,0.008888620262542087,916,0.9476101641027942,0.9734250474796752,12.335232361475462,0.002536554538120993,0.01768688927128134,True,0.04444310131271043
price,precipitation,西红柿,0.9598825423752284,0.004065292978166237,0.000490365661886887,0.0006592162064864586,0.4569601721771992,916,0.9240502300398886,0.9610066627695948,18.214061982127895,-0.0066463415392692075,0.014776927495601682,True,0.596347610770644
price,precipitation,青椒,0.967512673908841,0.003150690446772698,0.00038004404962451105,0.0007050093622217883,0.589843788196774,916,0.9386871317278882,0.9688386170724373,14.497799115750079,-0.008305039168462699,0.014606420062008095,True,0.596347610770644
price,precipitation,韭菜,0.9657915060170623,0.004773430928521718,0.0005757830073520899,0.0009638039241860654,0.5502358223332113,916,0.9322005498905839,0.9653913319476108,16.129886919046154,-0.010887463449934775,0.02043432530697821,True,0.596347610770644
price,precipitation,黄瓜,0.9639808286177344,0.0102479527902776,0.0012361333315899954,0.0012458756166422581,0.32110954596805963,916,0.9266081648899578,0.9621846294551285,17.653221261202635,-0.009996337517428176,0.030492243097983374,True,0.5351825766134327
price,temp_max,土豆,0.9835839164299138,-0.005610569814545755,-0.00042754347365017253,0.0004967548053355443,0.38941813989686125,916,0.9673442098600893,0.9834959604117846,7.621744921359372,-0.018387450455039808,0.007166310825948298,True,0.8141879873356125
price,temp_max,尖椒,0.9673640276121456,-0.002274505957032599,-0.00017332467286773428,0.0006697956118622376,0.7958107910827658,916,0.93922801673812,0.9690679539395343,14.389424262732518,-0.01950211703270174,0.014953105118636543,True,0.8141879873356125
price,temp_max,甘蓝,0.9655258675782539,0.005986815790214495,0.00045621462768648236,0.0006195531405959327,0.46151117224546856,916,0.936035994276188,0.9674043098295327,15.176164882313921,-0.009948523823642787,0.021922155404071775,True,0.8141879873356125
